City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
333,Impfondo,CG,68.81,Clouds,1.6381,18.0667,Auberge La Place de Jules
343,San Patricio,US,84.83,Clear,28.017,-97.5169,"Motel 6 Sinton, TX"
344,Belsand,IN,84.92,Clear,26.45,85.4,Patel ji nivas
345,Sao Jose Da Coroa Grande,BR,73.38,Clear,-8.8978,-35.1478,Crôa Mares Hotel
346,Williams Lake,CA,74.77,Clouds,52.1415,-122.1445,Stampeder Motel
349,Carmo,BR,67.82,Rain,-21.9336,-42.6086,Pousada do Carmo
350,Coari,BR,81.82,Clouds,-4.085,-63.1414,Dellrey Hotel Center
351,Peplos,GR,65.46,Clouds,40.9583,26.2656,Oikeia Kallinaki Theodorou
352,Bundaberg,AU,78.22,Clouds,-24.85,152.35,Takalvan Motel
356,Tsumeb,,73.08,Clear,-19.2333,17.7167,TeaterHuis Guest House
358,Jaru,BR,84.16,Clouds,-10.4389,-62.4664,Hotel Paraná
359,Saiki,JP,72.55,Rain,32.95,131.9,（株）サンテツ
363,Champerico,GT,80.11,Clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
365,Jardim,BR,69.3,Clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
367,Poya,NC,81.97,Clear,-21.35,165.15,
378,Oranjestad,AW,84.15,Clouds,12.524,-70.027,Divi Village Golf & Beach Resort
389,San Andres,CO,80.62,Clouds,12.5847,-81.7006,Hotel Arena Blanca
401,Boende,CD,70.03,Rain,-0.2167,20.8667,
402,Dingle,PH,83.21,Clouds,10.9995,122.6711,SEGAYA PROPERTY
404,Tezu,IN,83.19,Clouds,27.9167,96.1667,Circuit House
408,Nayudupeta,IN,83.28,Clouds,13.9,79.9,Hotel Manju
411,Sinnamary,GF,78.58,Clear,5.3833,-52.95,ALETHEIA Appartement Sinnamary
414,Kijang,KR,71.33,Clouds,35.2442,129.2139,Samyang Beach Villa
415,Norsup,VU,83.73,Clear,-16.0667,167.3833,Nabelchel Bungalows
420,Ati,TD,81.46,Clouds,13.2154,18.3353,
425,Valle De Allende,MX,66.52,Clouds,26.9333,-105.4,Hotel Meson de San Bartolome
426,Vila Franca Do Campo,PT,68.2,Rain,37.7167,-25.4333,Pestana Bahia Praia
427,Gwanda,ZW,68.13,Clear,-20.9333,29.0,Mafax Homeways
430,Yichang,CN,77.88,Clouds,30.7144,111.2847,Gezhouba Hotel
433,Salmo,CA,67.08,Clear,49.1999,-117.2689,Reno Motel
435,Mahwa,IN,83.77,Clear,27.0471,76.9288,Hotel Sagr Sangam
437,Manzhouli,CN,68.32,Clouds,49.6,117.4333,Angala International Youth Hostel
444,Owando,CG,70.29,Rain,-0.4819,15.8999,Exaunel Hotel Owando
445,Menongue,AO,66.67,Clouds,-14.6585,17.691,Ritz Lauca
447,San Rafael Del Sur,NI,76.17,Rain,11.8485,-86.4384,Hospedaje El Chino
449,Baiquan,CN,67.82,Clear,47.5833,126.0833,Wenxin Home Leisure Express Hotel
450,Angoche,MZ,71.85,Clear,-16.2325,39.9086,Guest House HESADA
452,Karachi,PK,80.42,Smoke,24.9056,67.0822,Sadaat
455,Turayf,SA,70.05,Clear,31.6725,38.6637,Al Mudawah Hotel
456,Matara,LK,83.26,Clouds,5.9485,80.5353,Amaloh Boutique Resort
457,Road Town,VG,82.92,Clear,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
458,Khandbari,NP,74.77,Clouds,27.3747,87.2039,Sainik Hotel And Lodge
459,Sur,OM,81.19,Clear,22.5667,59.5289,Sur Plaza Hotel
461,Safford,US,83.32,Clear,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
463,Weligama,LK,82.89,Clouds,5.9667,80.4167,Weligama Bay Resort
464,Conde,BR,74.66,Clear,-7.2597,-34.9075,Pousada Beija Flor
