City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Kitob,UZ,2022-09-22 01:26:57,39.0843,66.8332,70.77,27,0,5.23
59,Hermanus,ZA,2022-09-22 01:26:57,-34.4187,19.2345,56.39,70,14,5.44
60,Saint-Philippe,RE,2022-09-22 01:26:57,-21.3585,55.7679,71.19,81,50,12.21
61,Victoria,HK,2022-09-22 01:26:03,22.2855,114.1577,85.24,74,65,11.01
62,Jamestown,US,2022-09-22 01:24:13,42.097,-79.2353,76.59,73,40,8.05
63,Luan,CH,2022-09-22 01:26:58,46.3592,6.9759,43.86,90,0,3.56
64,Otane,NZ,2022-09-22 01:26:58,-39.8833,176.6333,55.0,90,100,7.63
65,Kovdor,RU,2022-09-22 01:26:59,67.5662,30.4758,40.03,95,100,7.05
66,Broome,US,2022-09-22 01:26:59,42.2506,-75.833,69.19,81,0,8.05
67,Tshikapa,CD,2022-09-22 01:26:59,-6.4167,20.8,70.34,98,100,2.98
68,Kholtoson,RU,2022-09-22 01:27:00,50.2981,103.3097,40.68,61,14,1.92
69,Luwuk,ID,2022-09-22 01:27:00,-0.9516,122.7875,80.98,79,100,1.32
70,Port Alfred,ZA,2022-09-22 01:27:00,-33.5906,26.891,61.34,69,0,7.74
71,Juneau,US,2022-09-22 01:24:47,58.3019,-134.4197,55.4,94,100,8.05
72,Healdsburg,US,2022-09-22 01:27:01,38.6105,-122.8692,75.43,53,40,9.22
73,Sibolga,ID,2022-09-22 01:27:01,1.7427,98.7792,71.74,91,100,5.06
74,Jodhpur,IN,2022-09-22 01:27:02,26.2867,73.03,79.66,60,87,8.48
75,Ribeira Grande,PT,2022-09-22 01:27:00,38.5167,-28.7,74.62,83,40,9.48
76,Hofn,IS,2022-09-22 01:27:02,64.2539,-15.2082,51.17,79,100,3.29
77,Atuona,PF,2022-09-22 01:26:44,-9.8,-139.0333,76.24,82,33,21.23
78,Coihaique,CL,2022-09-22 01:23:02,-45.5752,-72.0662,46.35,61,75,4.61
79,Urucara,BR,2022-09-22 01:27:03,-2.5364,-57.76,84.33,45,76,1.41
80,Kavieng,PG,2022-09-22 01:23:13,-2.5744,150.7967,83.35,69,26,8.61
81,Whitley Bay,GB,2022-09-22 01:25:25,55.0397,-1.4471,57.99,82,20,6.91
82,Flinders,AU,2022-09-22 01:27:04,-34.5833,150.8552,61.27,87,100,11.95
83,Faanui,PF,2022-09-22 01:27:04,-16.4833,-151.75,78.98,69,0,18.34
84,Geraldton,AU,2022-09-22 01:26:39,-28.7667,114.6,63.01,82,0,4.61
85,Dawson Creek,CA,2022-09-22 01:25:29,55.7666,-120.2362,69.44,37,0,3.44
86,Port Lincoln,AU,2022-09-22 01:27:05,-34.7333,135.8667,60.57,69,44,6.55
87,Golden,US,2022-09-22 01:27:05,39.7555,-105.2211,59.02,93,100,5.75
88,Poum,NC,2022-09-22 01:27:06,-20.2333,164.0167,76.53,72,18,9.51
89,Zelenoborsk,RU,2022-09-22 01:27:06,61.4669,64.0333,42.89,74,0,10.13
90,Dubbo,AU,2022-09-22 01:24:00,-32.25,148.6167,66.33,72,40,8.05
91,Santa Engracia,ES,2022-09-22 01:27:06,41.9406,-1.3245,62.19,64,0,7.31
92,Galle,LK,2022-09-22 01:27:07,6.0367,80.217,79.23,83,42,9.51
93,Nome,US,2022-09-22 01:28:07,64.5011,-165.4064,44.67,82,100,26.46
94,Amapa,BR,2022-09-22 01:28:07,1.0,-52.0,73.78,89,4,5.28
95,Mus,TR,2022-09-22 01:28:08,39.0,41.75,56.43,75,100,1.01
96,Avarua,CK,2022-09-22 01:28:07,-21.2078,-159.775,77.05,69,75,18.41
97,Mataura,NZ,2022-09-22 01:26:34,-46.1927,168.8643,59.49,47,14,0.2
98,Salalah,OM,2022-09-22 01:28:08,17.0151,54.0924,80.69,78,75,3.44
99,Chuy,UY,2022-09-22 01:28:09,-33.6971,-53.4616,51.26,80,100,5.86
100,Envigado,CO,2022-09-22 01:28:09,6.1706,-75.5853,67.1,97,40,2.3
101,Parabel,RU,2022-09-22 01:28:09,58.6978,81.4825,50.27,90,87,8.72
102,Kahului,US,2022-09-22 01:28:10,20.8947,-156.47,87.82,66,40,21.85
103,Saskylakh,RU,2022-09-22 01:28:10,71.9167,114.0833,21.67,88,71,4.14
104,Leningradskiy,RU,2022-09-22 01:28:10,69.3833,178.4167,36.23,97,100,15.75
105,Meulaboh,ID,2022-09-22 01:27:59,4.1363,96.1285,75.79,81,100,2.51
106,Churapcha,RU,2022-09-22 01:28:11,62.0025,132.4325,34.61,61,90,13.29
107,Kijang,KR,2022-09-22 01:28:11,35.2442,129.2139,67.73,64,5,11.03
108,Omsukchan,RU,2022-09-22 01:28:11,62.5333,155.8,32.23,76,100,3.78
109,Barrow,US,2022-09-22 01:27:08,71.2906,-156.7887,39.22,81,100,8.05
110,Hambantota,LK,2022-09-22 01:28:12,6.1241,81.1185,79.14,94,20,4.61
111,Cockburn Town,TC,2022-09-22 01:28:00,21.4612,-71.1419,83.03,84,100,17.56
112,Matay,EG,2022-09-22 01:28:12,28.419,30.7792,77.41,36,0,4.05
113,Cabo San Lucas,MX,2022-09-22 01:26:04,22.8909,-109.9124,84.61,77,0,6.91
114,Pemba,MZ,2022-09-22 01:28:13,-12.974,40.5178,72.3,88,20,4.61
115,Changji,CN,2022-09-22 01:28:13,44.0167,87.3167,66.99,24,0,6.71
116,Russkaya Polyana,UA,2022-09-22 01:28:14,49.417,31.9201,46.22,92,17,6.26
117,Huilong,CN,2022-09-22 01:28:14,31.8111,121.655,76.93,70,59,7.85
